Tahun,Provinsi,Kabupaten/Kota,Rumah Tangga(ton),Perkantoran(ton),Pasar(ton),Perniagaan(ton),Fasilitas Publik(ton),Kawasan(ton),Lain(ton)
2022,Sulawesi Tengah,Kab. Banggai,90.00,1.50,40.00,7.90,30.00,19.00,
2022,Sulawesi Tengah,Kab. Donggala,3.00,0.50,2.00,1.50,1.69,1.00,1.00
2022,Sulawesi Tengah,Kab. Morowali,6.20,2.40,2.30,0.02,1.50,1.20,1.20
2022,Sulawesi Tengah,Kab. Parigi Moutong,,,,,,,
2022,Sulawesi Tengah,Kab. Sigi,,,,,,,
2022,Sulawesi Tengah,Kab. Banggai Laut,,,,,,,
2022,Sulawesi Tengah,Kab. Morowali Utara,,,,,,,
2022,Sulawesi Tengah,Kota Palu,137.44,0.46,36.65,20.68,4.96,2.61,0.14
2022,Sulawesi Selatan,Kab. Kepulauan Selayar,33.00,5.50,16.00,7.10,4.60,2.00,
2022,Sulawesi Selatan,Kab. Bulukumba,,,,,,,
2022,Sulawesi Selatan,Kab. Bantaeng,31.37,0.92,1.80,2.30,0.09,,3.12
2022,Sulawesi Selatan,Kab. Jeneponto,2.50,0.50,6.50,3.00,3.90,0.40,3.80
2022,Sulawesi Selatan,Kab. Sinjai,54.15,0.70,21.13,12.00,6.00,9.00,4.74
2022,Sulawesi Selatan,Kab. Bone,190.00,34.10,73.60,29.30,22.70,16.30,11.50
2022,Sulawesi Selatan,Kab. Maros,,,,,,,
2022,Sulawesi Selatan,Kab. Pangkajene Kepulauan,84.09,5.14,23.71,19.65,1.18,4.04,0.47
2022,Sulawesi Selatan,Kab. Barru,8.30,1.38,0.83,0.41,0.83,1.38,0.69
2022,Sulawesi Selatan,Kab. Soppeng,44.19,7.53,15.20,8.06,3.28,13.89,2.08
2022,Sulawesi Selatan,Kab. Wajo,5.29,0.31,1.20,0.04,0.04,0.23,25.55
2022,Sulawesi Selatan,Kab. Sidenreng Rappang,94.00,4.49,7.27,3.53,8.98,2.24,4.90
2022,Sulawesi Selatan,Kab. Pinrang,120.00,30.00,5.00,5.00,10.00,5.00,5.00
2022,Sulawesi Selatan,Kab. Enrekang,,,,,,,
2022,Sulawesi Selatan,Kab. Luwu Timur,46.40,11.20,22.70,11.30,5.90,5.90,16.80
2022,Sulawesi Selatan,Kab. Toraja Utara,,,,,,,
2022,Sulawesi Selatan,Kota Parepare,33.25,5.35,15.60,8.45,4.35,7.70,2.25
2022,Sulawesi Selatan,Kota Palopo,6.70,0.50,13.00,4.20,3.60,3.00,3.00
2022,Sulawesi Tenggara,Kab. Kolaka,78.39,3.62,18.09,6.03,10.85,1.20,2.40
2022,Sulawesi Tenggara,Kab. Wakatobi,22.00,10.20,25.00,5.20,10.20,5.10,3.00
2022,Sulawesi Tenggara,Kab. Kolaka Utara,5.00,1.00,2.00,1.00,1.00,2.00,3.00
2022,Sulawesi Tenggara,Kab. Buton Selatan,,,,,,,
2022,Sulawesi Tenggara,Kota Kendari,163.02,8.12,18.78,2.18,2.45,5.23,1.58
2022,Sulawesi Tenggara,Kota Bau Bau,41.26,4.74,9.00,9.00,9.00,8.00,
2022,Gorontalo,Kab. Gorontalo,102.86,7.91,18.99,4.75,11.08,1.58,11.08
2022,Gorontalo,Kab. Bone Bolango,20.82,2.33,12.81,7.79,3.62,3.18,
2022,Gorontalo,Kab. Pohuwato,6.40,1.10,3.30,1.20,0.90,0.50,1.50
2022,Gorontalo,Kota Gorontalo,,,,,,,
2022,Sulawesi Barat,Kab. Mamuju,,,,,,,
2022,Sulawesi Barat,Kab. Majene,,,,,,,
2022,Sulawesi Barat,Kab. Mamuju Tengah,,,,,,,
2022,Maluku,Kab. Maluku Tengah,,,,,,,
2022,Maluku,Kab. Buru Selatan,5.43,0.41,2.51,9.92,1.60,,1.05
2022,Maluku Utara,Kab. Halmahera Utara,116.60,7.20,10.00,2.90,0.40,1.00,5.90
2022,Maluku Utara,Kota Tidore Kepulauan,,,,,,,
2022,Papua,Kab. Jayapura,78.00,0.53,9.00,3.50,8.00,0.27,
2022,Papua,Kab. Kepulauan Yapen,,,,,,,
2022,Papua,Kab. Biak Numfor,26.59,3.36,9.55,3.05,3.45,6.52,
2022,Papua,Kab. Sarmi,6.00,2.00,5.00,,2.00,1.00,0.73
2022,Papua,Kab. Waropen,15.00,10.00,35.00,10.00,20.00,5.00,5.00
2022,Papua,Kota Jayapura,,,,,,,
2022,Papua Barat,Kab. Manokwari,137.05,,19.80,4.40,4.12,,
2022,Papua Barat,Kab. Teluk Wondama,,,,,,,
2022,Papua Barat,Kab. Kaimana,10.00,9.00,2.47,3.00,1.00,1.00,0.53
2022,Papua Selatan,Kab. Merauke,48.00,9.24,20.85,13.18,0.21,,0.90
2022,Papua Selatan,Kab. Boven Digoel,7.00,2.00,,1.00,1.00,1.00,3.00
2022,Papua Selatan,Kab. Asmat,29.00,2.00,4.00,3.00,4.12,2.63,0.80
2022,Papua Tengah,Kab. Mimika,,,,,,,
2022,Papua Barat Daya,Kab. Sorong,,,,,,,
2021,Aceh,Kab. Aceh Selatan,1.10,0.95,6.00,5.65,5.95,0.40,
2021,Aceh,Kab. Gayo Lues,16.00,6.00,11.00,2.00,3.00,,2.00
2021,Aceh,Kota Banda Aceh,190.29,0.57,9.23,46.18,2.36,0.00,0.05
2021,Aceh,Kota Sabang,7.00,3.00,0.50,4.50,0.50,2.00,2.00
2021,Aceh,Kota Langsa,10.00,2.20,14.00,12.00,12.08,2.50,
2021,Aceh,Kota Subulussalam,26.00,1.50,6.00,2.50,4.00,26.00,
2021,Sumatera Utara,Kab. Tapanuli Tengah,,,,,,,
2021,Sumatera Utara,Kab. Tapanuli Utara,2.00,2.00,0.51,0.50,2.00,1.00,
2021,Sumatera Utara,Kab. Langkat,8.50,5.40,7.60,6.00,3.90,1.90,2.80
2021,Sumatera Utara,Kab. Karo,49.25,35.94,60.14,35.94,24.90,24.25,13.98
2021,Sumatera Utara,Kab. Deli Serdang,477.07,67.87,255.50,67.87,100.50,25.95,123.40
2021,Sumatera Utara,Kab. Simalungun,,,,,,,
2021,Sumatera Utara,Kab. Asahan,,,,,,,
2021,Sumatera Utara,Kab. Toba,,,,,,,
2021,Sumatera Utara,Kota Medan,,,,,,,
2021,Sumatera Utara,Kota Pematang Siantar,162.00,5.40,22.02,12.00,6.00,12.00,13.60
2021,Sumatera Utara,Kota Tebing Tinggi,74.66,9.43,21.17,8.81,4.36,3.67,0.39
2021,Sumatera Barat,Kab. Pesisir Selatan,86.10,16.00,28.30,1.50,18.00,3.60,
2021,Sumatera Barat,Kab. Tanah Datar,88.60,0.28,17.75,1.54,12.27,,
2021,Sumatera Barat,Kab. Agam,,,,,,,
2021,Sumatera Barat,Kab. Lima Puluh Kota,,,,,,,
2021,Sumatera Barat,Kab. Pasaman,,,,,,,
2021,Sumatera Barat,Kab. Dharmasraya,,2.29,0.94,,0.10,,11.20
2021,Sumatera Barat,Kab. Solok Selatan,17.39,0.20,2.01,5.21,,,
2021,Sumatera Barat,Kota Padang,462.00,14.00,88.00,20.00,40.41,7.00,8.00
2021,Sumatera Barat,Kota Solok,32.32,0.51,16.21,0.43,1.24,0.05,1.72
2021,Sumatera Barat,Kota Sawahlunto,,,,,,,
2021,Sumatera Barat,Kota Padang Panjang,38.13,0.36,6.76,1.52,1.00,0.01,0.63
2021,Sumatera Barat,Kota Payakumbuh,77.80,0.75,9.29,6.76,3.33,0.35,0.54
2021,Riau,Kab. Indragiri Hilir,20.00,0.10,14.70,0.10,0.10,,
2021,Riau,Kab. Siak,17.40,4.50,7.00,2.00,4.30,2.80,1.00
2021,Riau,Kota Pekanbaru,,,,,,,
2021,Riau,Kota Dumai,,,,,,,
2021,Jambi,Kab. Merangin,30.00,10.00,30.00,5.00,20.00,5.00,
2021,Jambi,Kab. Bungo,16.70,1.50,67.30,1.50,1.20,2.60,64.60
2021,Jambi,Kota Jambi,51.30,2.45,18.70,9.24,6.27,3.79,8.25
2021,Sumatera Selatan,Kab. Muara Enim,60.60,25.70,57.90,4.00,0.10,0.10,
2021,Sumatera Selatan,Kab. Lahat,60.00,1.00,5.00,2.00,0.50,,4.00
2021,Sumatera Selatan,Kab. Musi Banyuasin,145.00,12.00,21.00,25.00,13.00,20.00,23.00
2021,Sumatera Selatan,Kab. Ogan Komering Ulu Timur,1.00,0.20,18.00,0.40,0.40,0.90,2.90
2021,Sumatera Selatan,Kota Palembang,808.13,14.41,99.75,149.15,91.44,15.17,2.20
2021,Sumatera Selatan,Kota Prabumulih,22585.13,5211.95,2084.78,1737.32,1737.32,694.93,694.93
2021,Bengkulu,Kab. Seluma,4.25,,,,,,
2021,Lampung,Kab. Lampung Tengah,50.00,5.00,35.00,5.00,5.00,,
2021,Lampung,Kab. Tanggamus,138.60,4.20,76.50,19.40,9.40,4.20,8.50
2021,Lampung,Kab. Way Kanan,301.74,2.36,10.80,0.84,0.08,,22.62
2021,Lampung,Kab. Pringsewu,,,,,,,
2021,Lampung,Kota Bandar Lampung,40.90,8.20,17.30,18.10,6.30,5.80,3.40
2021,Lampung,Kota Metro,49.37,9.31,18.56,11.35,8.04,5.13,2.09
2021,Kepulauan Bangka Belitung,Kab. Bangka,79.79,6.62,17.57,9.92,3.84,5.10,7.65
2021,Kepulauan Bangka Belitung,Kab. Belitung,28.00,0.80,6.00,2.50,2.50,2.50,2.70
2021,Kepulauan Bangka Belitung,Kab. Bangka Selatan,25.00,2.00,7.00,5.00,10.00,15.00,16.00
2021,Kepulauan Bangka Belitung,Kab. Bangka Tengah,,,,,,,
2021,Kepulauan Bangka Belitung,Kota Pangkal Pinang,47.70,7.30,21.10,8.60,4.30,6.20,4.80
2021,Kepulauan Riau,Kab. Bintan,19.41,6.50,10.50,7.30,5.80,3.40,3.50
2021,Kepulauan Riau,Kab. Karimun,73.30,5.40,18.30,20.10,36.65,29.33,0.27
2021,Kepulauan Riau,Kota Tanjung Pinang,,,,,,,
2021,DKI Jakarta,Kab. Adm. Kep. Seribu,,,,,,,
2021,DKI Jakarta,Kota Adm. Jakarta Pusat,,,,,,,
2021,DKI Jakarta,Kota Adm. Jakarta Utara,,,,,,,
2021,DKI Jakarta,Kota Adm. Jakarta Barat,,,,,,,
2021,DKI Jakarta,Kota Adm. Jakarta Selatan,,,,,,,
2021,DKI Jakarta,Kota Adm. Jakarta Timur,,,,,,,
2021,Jawa Barat,Kab. Bandung,,,,,,,
2021,Jawa Barat,Kab. Garut,,,,,,,
2021,Jawa Barat,Kab. Ciamis,281.80,23.00,94.90,97.80,28.80,23.00,23.00
2021,Jawa Barat,Kab. Cirebon,,,,,,,
2021,Jawa Barat,Kab. Sumedang,105.00,0.50,12.00,3.00,0.50,4.00,4.00
2021,Jawa Barat,Kab. Indramayu,242.58,88.21,165.39,110.27,110.26,220.52,165.39
2021,Jawa Barat,Kota Bogor,418.73,33.77,87.80,47.28,20.26,27.01,40.52
2021,Jawa Barat,Kota Sukabumi,154.42,3.03,5.66,2.98,12.56,0.59,
2021,Jawa Barat,Kota Bandung,955.53,63.70,159.25,95.55,211.81,79.63,27.08
2021,Jawa Barat,Kota Cirebon,92.53,1.27,8.01,58.00,22.09,13.89,8.68
2021,Jawa Barat,Kota Bekasi,921.00,47.00,435.00,211.00,69.00,73.00,24.00
2021,Jawa Barat,Kota Depok,156.20,7.40,104.20,29.80,409.20,22.30,14.90
2021,Jawa Barat,Kota Cimahi,,,,,,,
2021,Jawa Tengah,Kab. Cilacap,724.60,0.48,44.61,0.17,8.89,6.10,6.12
2021,Jawa Tengah,Kab. Banyumas,99999.99,16242.00,35733.00,68218.00,19491.00,12994.00,9747.00
2021,Jawa Tengah,Kab. Purbalingga,69.55,3.17,8.72,1.55,10.85,1.90,13.26
2021,Jawa Tengah,Kab. Purworejo,92.96,0.20,0.34,0.20,0.58,,
2021,Jawa Tengah,Kab. Wonosobo,,,,,,,
2021,Jawa Tengah,Kab. Magelang,,,,,,,
2021,Jawa Tengah,Kab. Boyolali,,,,,,,
2021,Jawa Tengah,Kab. Klaten,142.44,0.73,2.62,1.20,13.73,14.00,
2021,Jawa Tengah,Kab. Sukoharjo,172.54,32.35,50.32,43.13,17.98,28.76,14.38
2021,Jawa Tengah,Kab. Wonogiri,,,,,,,
2021,Jawa Tengah,Kab. Karanganyar,350.00,,3600.00,,,,
2021,Jawa Tengah,Kab. Sragen,196.50,77.20,143.60,46.60,10.41,105.38,6.48
2021,Jawa Tengah,Kab. Blora,92.00,23.00,46.00,25.00,23.00,14.00,7.00
2021,Jawa Tengah,Kab. Rembang,52.28,3.68,1661.23,0.02,152.00,,11.86
2021,Jawa Tengah,Kab. Pati,,,,,,,
2021,Jawa Tengah,Kab. Jepara,,,,,,,
2021,Jawa Tengah,Kab. Demak,65.00,,12.00,,,,
2021,Jawa Tengah,Kab. Semarang,20.00,10.00,30.00,10.00,10.00,10.00,10.00
2021,Jawa Tengah,Kab. Temanggung,265.09,24.68,23.66,43.58,76.51,,46.64
2021,Jawa Tengah,Kab. Batang,135.00,22.00,60.00,48.00,24.00,19.00,15.00
2021,Jawa Tengah,Kab. Pekalongan,197.64,34.88,19.38,19.38,15.50,100.76,
2021,Jawa Tengah,Kab. Pemalang,,,,,,,
2021,Jawa Tengah,Kab. Tegal,,,,,,,
2021,Jawa Tengah,Kab. Brebes,50.00,4.00,36.00,1.00,1.00,1.00,7.00
2021,Jawa Tengah,Kota Magelang,,,,,,,
2021,Jawa Tengah,Kota Salatiga,,,,,,,
2021,Jawa Tengah,Kota Semarang,432.28,35.85,51.95,16.17,30.46,84.28,530.00
2021,Jawa Tengah,Kota Tegal,159.70,0.23,7.50,23.41,10.50,12.51,45.73
2021,D.I. Yogyakarta,Kab. Kulon Progo,0.43,,0.23,,,,
2021,D.I. Yogyakarta,Kab. Sleman,,,,,,,
2021,D.I. Yogyakarta,Kota Yogyakarta,180.63,2.13,31.43,72.43,37.80,1.07,1.91
2021,Jawa Timur,Kab. Pacitan,13.80,0.00,15.20,0.92,0.81,1.22,1.00
2021,Jawa Timur,Kab. Ponorogo,37.50,3.22,16.40,7.29,5.25,15.74,14.60
2021,Jawa Timur,Kab. Trenggalek,,,,,,,
2021,Jawa Timur,Kab. Tulungagung,,,,,,,
2021,Jawa Timur,Kab. Blitar,,,,,,,
2021,Jawa Timur,Kab. Kediri,,,,,,,
2021,Jawa Timur,Kab. Lumajang,,,,,,,
2021,Jawa Timur,Kab. Banyuwangi,0.07,0.00,0.25,0.05,0.56,0.15,0.01
2021,Jawa Timur,Kab. Situbondo,,,,,,,
2021,Jawa Timur,Kab. Jombang,84.05,0.60,29.19,1.20,4.20,1.20,1.81
2021,Jawa Timur,Kab. Nganjuk,181.32,22.95,94.99,8.88,23.30,47.63,64.81
2021,Jawa Timur,Kab. Magetan,14.94,,12.86,,,,
2021,Jawa Timur,Kab. Ngawi,,,,,,,
2021,Jawa Timur,Kab. Bojonegoro,,,,,,,
2021,Jawa Timur,Kab. Tuban,136.80,0.70,129.00,70.88,55.95,95.62,15.00
2021,Jawa Timur,Kab. Lamongan,30.14,0.28,0.32,0.41,0.50,10.21,58.14
2021,Jawa Timur,Kab. Pamekasan,240.00,3.00,10.00,6.00,5.00,2.50,6.00
2021,Jawa Timur,Kab. Sumenep,360.20,0.61,5.40,1.15,39.01,19.08,24.84
2021,Jawa Timur,Kota Kediri,,,,,,,
2021,Jawa Timur,Kota Blitar,68.08,0.70,2.10,1.40,1.10,0.40,1.40
2021,Jawa Timur,Kota Malang,,,,,,,
2021,Jawa Timur,Kota Probolinggo,49.68,0.40,14.20,2.50,0.80,1.80,0.90
2021,Jawa Timur,Kota Pasuruan,76.14,0.66,19.69,1.31,16.41,6.56,10.50
2021,Jawa Timur,Kota Madiun,,,,,,,
2021,Jawa Timur,Kota Surabaya,,,,,,,
2021,Jawa Timur,Kota Batu,15000.00,10000.00,12000.00,4000.47,762.00,,
2021,Banten,Kab. Serang,,,,,,,
2021,Banten,Kota Cilegon,,,,,,,
2021,Banten,Kota Tangerang Selatan,,,,,,,
2021,Bali,Kab. Jembrana,56.38,2.80,12.40,15.40,7.32,3.10,2.60
2021,Bali,Kab. Tabanan,,,530.00,,,,
2021,Bali,Kab. Badung,,,,,,,
2021,Bali,Kab. Gianyar,398.00,4.61,16.15,,7.17,48.96,2.08
2021,Bali,Kab. Bangli,82.14,0.02,5.94,0.45,4.08,1.20,2.76
2021,Bali,Kab. Buleleng,527.27,1.56,6.78,1.36,1.16,0.53,0.39
2021,Bali,Kota Denpasar,,,,,,,
2021,Nusa Tenggara Barat,Kab. Lombok Timur,90.24,0.15,15.00,3.00,10.73,0.47,21.00
2021,Nusa Tenggara Barat,Kab. Sumbawa,134.92,7.78,12.97,5.19,72.65,12.97,12.97
2021,Nusa Tenggara Barat,Kota Mataram,174.23,5.28,34.32,23.76,10.56,7.92,7.92
2021,Nusa Tenggara Timur,Kab. Alor,,,,,,,
2021,Nusa Tenggara Timur,Kab. Manggarai Barat,60.00,0.10,5.03,17.60,13.88,0.65,6.81
2021,Nusa Tenggara Timur,Kota Kupang,105.11,17.52,42.70,24.09,16.42,8.76,4.38
2021,Kalimantan Barat,Kab. Sambas,277.38,0.90,37.60,,,,
2021,Kalimantan Barat,Kab. Mempawah,,,,,,,
2021,Kalimantan Barat,Kab. Sanggau,238.70,0.26,0.16,8.03,,,
2021,Kalimantan Barat,Kab. Melawi,,,,,,,
2021,Kalimantan Barat,Kota Pontianak,,,,,,,
2021,Kalimantan Barat,Kota Singkawang,,,,,,,
2021,Kalimantan Tengah,Kab. Kapuas,8.90,0.61,4.95,3.83,1.45,1.57,
2021,Kalimantan Tengah,Kab. Barito Utara,32.50,5.20,24.00,2.00,1.50,2.00,1.50
2021,Kalimantan Tengah,Kab. Seruyan,5980.29,80.93,16.29,,,,
2021,Kalimantan Tengah,Kab. Gunung Mas,94.78,2.35,8.00,,,,23.93
2021,Kalimantan Tengah,Kab. Pulang Pisau,38.10,0.10,2.30,6.50,3.90,0.00,
2021,Kalimantan Tengah,Kab. Barito Timur,5.94,,4.50,,1.40,0.50,0.70
2021,Kalimantan Tengah,Kota Palangkaraya,69.27,20.36,18.88,13.90,5.85,3.05,16.61
2021,Kalimantan Selatan,Kab. Tanah Laut,14.40,1.80,7.20,2.70,2.25,1.20,0.45
2021,Kalimantan Selatan,Kab. Kotabaru,,,,,,,
2021,Kalimantan Selatan,Kab. Banjar,,,,,,,
2021,Kalimantan Selatan,Kab. Barito Kuala,37.50,9.30,19.00,10.50,14.70,4.00,5.00
2021,Kalimantan Selatan,Kab. Tapin,61.02,1.93,6.04,2.19,2.70,2.09,1.38
2021,Kalimantan Selatan,Kab. Hulu Sungai Selatan,48.31,0.79,35.02,5.69,4.71,3.60,1.88
2021,Kalimantan Selatan,Kab. Hulu Sungai Tengah,18.30,2.79,20.50,8.00,2.10,2.00,1.63
2021,Kalimantan Selatan,Kab. Hulu Sungai Utara,23.69,0.63,16.93,2.91,6.43,11.51,5.79
2021,Kalimantan Selatan,Kab. Tabalong,37.56,6.92,18.78,20.76,6.92,6.92,1.00
2021,Kalimantan Selatan,Kab. Tanah Bumbu,,,,,,,
2021,Kalimantan Selatan,Kab. Balangan,26.76,5.16,9.94,6.72,2.78,3.90,1.30
2021,Kalimantan Selatan,Kota Banjarmasin,332.48,3.55,76.68,26.49,56.32,10.64,0.30
2021,Kalimantan Selatan,Kota Banjarbaru,,,,,,,
2021,Kalimantan Timur,Kab. Paser,81.43,2.29,10.31,5.73,2.29,2.29,
2021,Kalimantan Timur,Kab. Kutai Kartanegara,61.52,8.61,1.14,5.80,55.34,89.23,0.95
2021,Kalimantan Timur,Kab. Kutai Timur,55.00,4.00,20.00,4.00,7.00,7.00,3.00
2021,Kalimantan Timur,Kab. Penajam Paser Utara,13.00,2.00,5.00,2.50,2.00,1.50,2.00
2021,Kalimantan Timur,Kota Balikpapan,336.66,9.02,29.66,42.03,21.90,6.28,19.39
2021,Kalimantan Timur,Kota Samarinda,,,,,,,
2021,Kalimantan Timur,Kota Bontang,82.20,5.06,5.91,,3.03,,3.80
2021,Kalimantan Utara,Kab. Nunukan,,,,,,,
2021,Kalimantan Utara,Kab. Tana Tidung,10.82,1.20,0.80,,,,
2021,Sulawesi Utara,Kab. Kepulauan Sangihe,65.84,1.00,13.17,4.39,1.31,,1.75
2021,Sulawesi Utara,Kab. Minahasa Selatan,15.00,0.50,4.00,0.80,0.70,1.00,1.00
2021,Sulawesi Utara,Kab. Minahasa Tenggara,,,,,,,
2021,Sulawesi Utara,Kab. Bolaang Mongondow Utara,40.00,10.00,10.00,5.00,20.00,5.00,10.00
2021,Sulawesi Utara,Kab. Bolaang Mongondow Selatan,25.00,15.00,20.00,15.00,15.00,5.00,5.00
2021,Sulawesi Utara,Kota Manado,,,,,,,
2021,Sulawesi Utara,Kota Bitung,54.62,3.55,5.95,10.72,42.81,30.25,10.60
2021,Sulawesi Utara,Kota Tomohon,,,,,,,
2021,Sulawesi Utara,Kota Kotamobagu,49.35,6.21,11.90,7.20,6.45,,5.39
2021,Sulawesi Tengah,Kab. Donggala,3.00,0.50,2.00,1.50,1.69,1.00,1.00
2021,Sulawesi Tengah,Kab. Parigi Moutong,,,,,,,
2021,Sulawesi Tengah,Kab. Sigi,0.50,0.50,0.30,6.51,0.40,,
2021,Sulawesi Tengah,Kab. Banggai Laut,,,,,,,
2021,Sulawesi Tengah,Kota Palu,,,,,,,
2021,Sulawesi Selatan,Kab. Kepulauan Selayar,,,,,,,
2021,Sulawesi Selatan,Kab. Bulukumba,,,,,,,
2021,Sulawesi Selatan,Kab. Bantaeng,31.37,0.92,1.80,2.30,0.09,,3.12
2021,Sulawesi Selatan,Kab. Jeneponto,0.99,0.33,6.60,3.30,3.96,0.49,3.79
2021,Sulawesi Selatan,Kab. Sinjai,54.40,0.73,21.16,12.09,6.04,9.07,4.82
2021,Sulawesi Selatan,Kab. Bone,190.00,34.10,73.60,29.30,22.70,16.30,11.50
2021,Sulawesi Selatan,Kab. Maros,,,,,,,
